"Q17_Age","Q19_Sex","Q20_EduLevel","Q21_EduType","Q22_WorkExperience","Q32_CurrentSituation","Q29_Prof_Knowledge","Q30_Involvement","Q2023_Country_Residence","Q2023_Country_Origin","Q16_Device_Owned","Q2_Device_In_Mind","Q3_Positive_About_Device","Q3_Feel_Victimized","Q3_Device_Runs_Independently","Q3_Device_Cannot_Initiate_Actions","Q3_Me_The_User_In_Control","Q3_Device_Forces_Process_On_Me","Q3_Device_Cannot_Change_Task","Q3_Device_Has_Own_Intelligence","Q4_Understand_How_Device_Works","Q4_Not_Ideal_Use","Q4_Device_Active_Participant","Q4_Device_Dependent_On_Me","Q4_Freely_Choose_Tasks","Q4_Cannot_Achieve_Things_I_Want","Q4_Device_Handles_Better_Certain_Things","Q4_Device_Not_Helpful","Q5_Enjoy_Device","Q5_Negative_Feelings_Towards_Device","Q5_Miss_Device","Q5_Device_Pleasurable","Q6_Device_Has_Own_Personality","Q6_Device_Supports_Like_Friend","Q6_Consider_Naming_Device","Q7_Device_Part_Of_Myself","Q7_Dont_Like_Others_Use_My_Device","Q7_Feel_Incomplete_Without_Device","Q8_Device_Useful_For_My_Goals","Q8_Device_Better_Than_NonSmart_Equivalent","Q8_Function_Aspect_Most_Important","Q9_Device_Important_Part_Lifestyle","Q9_Device_Helps_Me_Larger_Community","Q9_Device_Helps_Me_Social_Relations","Q10_Saves_Me_Time","Q10_Saves_Me_Money","Q10_Price_Most_Important_Factor"
3,1,3,7,9,2,1,2,10,65,7,"Alexa","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Neutral","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Neutral","Somewhat Agree","Neutral","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Disagree"
11,1,4,7,7,3,1,2,187,187,1,"Fitbit Charge 3","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Neutral","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Neutral","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Agree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree"
4,1,5,7,4,1,1,1,163,163,7,"Alexa","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Neutral","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Neutral","Somewhat Agree","Neutral","Somewhat Disagree","Neutral","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Neutral","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Agree"
8,1,4,8,6,1,1,1,24,24,7,"Alexa","Strongly Agree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Disagree","Neutral","Neutral","Somewhat Disagree","Strongly Agree","Somewhat Agree","Neutral","Somewhat Agree","Strongly Disagree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Neutral","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Neutral","Strongly Agree"
9,1,5,7,6,1,1,2,187,187,7,NA,"Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Neutral","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Neutral","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Neutral","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Disagree"
4,2,7,8,3,1,2,1,24,24,8,"samsung","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree"
2,1,3,8,9,4,2,2,122,84,2,"Roomba","Strongly Agree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Neutral","Somewhat Agree","Strongly Disagree","Somewhat Agree","Neutral","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Somewhat Agree","Somewhat Disagree"
4,2,4,11,2,1,1,2,122,142,1,"FitBit","Somewhat Disagree","Somewhat Disagree","Neutral","Somewhat Agree","Neutral","Neutral","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Disagree","Neutral","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Neutral","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Somewhat Disagree","Somewhat Agree","Neutral","Neutral"
4,1,4,7,2,1,1,1,187,187,7,"Alexa - Amazon Echo","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Neutral","Somewhat Agree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Strongly Disagree"
5,1,4,11,2,1,1,2,104,104,1,NA,"Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Disagree","Neutral","Somewhat Disagree","Neutral","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Agree"
8,1,4,8,7,1,1,2,122,122,1,"iWatch","Strongly Agree","Strongly Disagree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Agree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Neutral","Somewhat Disagree"
6,1,5,7,4,1,1,2,163,163,1,"mi band 4","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Neutral","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Disagree","Neutral","Strongly Agree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Somewhat Agree"
6,1,5,7,3,1,1,1,185,185,1,NA,"Strongly Agree","Neutral","Neutral","Somewhat Disagree","Somewhat Disagree","Neutral","Somewhat Disagree","Neutral","Neutral","Neutral","Somewhat Disagree","Somewhat Disagree","Neutral","Neutral","Neutral","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
3,2,2,10,2,1,1,2,185,185,8,"Amazon FireStick","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Neutral","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Neutral","Strongly Agree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Agree"
11,2,4,8,7,2,1,2,187,187,1,"Apple","Strongly Agree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Neutral","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Neutral","Strongly Agree","Strongly Agree","Neutral","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Strongly Disagree"
9,1,4,7,7,1,1,1,187,31,3,"Eco Bee","Strongly Agree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Neutral","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Neutral","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Agree"
4,2,7,2,1,2,2,2,9,79,4,"Oral-B Triumph electric toothbrush","Strongly Agree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Strongly Agree","Neutral","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Neutral","Neutral","Neutral","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral"
8,1,5,7,7,1,1,2,78,78,7,NA,"Strongly Disagree","Somewhat Agree","Neutral","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Neutral","Neutral","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Somewhat Agree"
4,1,4,8,3,1,1,2,187,187,3,"Samsung Smart Things light switch","Strongly Agree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Neutral","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Agree","Strongly Disagree","Neutral","Neutral","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Disagree"
8,1,3,1,5,1,2,2,168,168,8,"phillips","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Neutral","Strongly Agree","Strongly Agree","Neutral","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree"
4,1,7,7,3,1,1,2,138,138,1,"apple watch","Strongly Agree","Strongly Disagree","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Disagree","Neutral","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Disagree","Neutral","Strongly Disagree","Strongly Agree","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Neutral","Neutral","Somewhat Agree","Neutral","Somewhat Disagree"
10,1,5,7,7,1,1,2,65,65,2,"robotic window cleaner","Neutral","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Neutral","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Neutral","Strongly Disagree","Strongly Agree","Neutral","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Neutral","Somewhat Disagree"
11,1,5,7,7,1,1,2,187,31,1,NA,"Strongly Agree","Somewhat Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Disagree"
8,1,4,2,7,1,1,1,128,128,1,NA,"Strongly Agree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Neutral","Neutral","Neutral","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Neutral","Strongly Agree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Agree","Neutral","Strongly Disagree","Somewhat Agree","Neutral","Neutral","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree"
4,1,7,8,2,2,1,1,65,65,2,"Ecovacs Deboot Ozmo 950","Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Strongly Agree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Neutral","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Somewhat Agree","Strongly Disagree"
10,1,5,11,7,1,1,1,187,187,1,"Fitbit Charge 3","Strongly Agree","Neutral","Neutral","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Neutral","Somewhat Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Neutral","Neutral","Somewhat Agree","Somewhat Disagree","Neutral","Neutral","Strongly Disagree","Neutral","Neutral","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Disagree","Neutral","Neutral","Somewhat Agree","Neutral","Neutral"
6,1,5,7,5,1,1,1,7,7,1,NA,"Somewhat Agree","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Neutral","Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Somewhat Disagree","Somewhat Agree","Strongly Agree","Neutral","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Agree"
5,1,5,7,2,1,1,2,84,84,8,NA,"Somewhat Agree","Somewhat Agree","Somewhat Disagree","Neutral","Neutral","Somewhat Agree","Neutral","Neutral","Strongly Agree","Neutral","Somewhat Agree","Neutral","Neutral","Neutral","Strongly Disagree","Neutral","Neutral","Somewhat Agree","Strongly Disagree","Neutral","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Neutral","Somewhat Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Neutral"
